mearth,earth,mercury,moon,0.01_hhe,0.1_hhe,1_hhe,halfwater,allwater,allfe,10_hhe,20_water,10_water,3_water,60_hhe
2.515942,8194.357022,7486.129466999999,9030.282811,10709.924071,13728.944297999999,20862.970419999998,13352.212296,16914.759906,6421.060057,,11052.057775022708,10106.682919603136,9305.246266421944,64833.493737061326
2.524522,8201.937111,7493.0090709999995,9038.429255,10715.654279999999,13726.358352000001,20829.715373,13357.437423000001,16917.526731999995,6427.158371,,11058.211411598098,10113.178224418232,9312.007718724872,64808.90798519565
2.533132,8209.524212,7499.894997,9046.583048,10721.387555,13723.772892000005,20796.513333000003,13362.664595,16920.294009999998,6433.262477,,11064.375520280864,10119.683203236084,9318.778697867518,64784.23626916261
2.541771,8217.118332,7506.78725,9054.744197000002,10727.123897,13721.187919,20763.364215999998,13367.893812999999,16923.061741,6439.37238,,11070.549300534003,10126.196999401642,9325.558308952252,64759.48145443446
2.550439,8224.719476,7513.685837999999,9062.912708,10732.84632,13719.469007,20735.496537,13373.545441,16926.664953,6445.488086,,11076.732669811909,10132.719514208293,9332.346446142741,64734.64354101119
2.5591369999999998,8232.327651000001,7520.590765000001,9071.088589,10738.569776999999,13717.853086000001,20708.286400999998,13379.249398000002,16930.368113,6451.6096,,11082.926257142175,10139.2513993209,9339.143784461532,64709.719663420554
2.5678650000000003,8239.942865,7527.502037999999,9079.271845000001,10744.296286,13716.237356,20681.111971000002,13384.955788,16934.072084,6457.736928,,11089.129976412134,10145.792551809502,9345.950213536087,64684.70982166256
2.576622,8247.565123,7534.419662,9087.462483,10750.025849,13714.621815999999,20653.973201,13390.664611,16937.776866,6463.870076,,11095.343032802559,10152.342121746826,9352.764845822385,64659.61688120945
2.58541,8255.194431,7541.343643000001,9095.660511,10755.758467,13713.006465999999,20626.870043,13396.37587,16941.482456999995,6470.009048,,11101.566759488556,10158.901502389157,9359.589127735655,64634.43511111673
2.594227,8262.830797,7548.273986999999,9103.865934,10761.494142,13711.391306,20599.802452,13402.089564000002,16945.188859999995,6476.153851,,11107.799654389775,10165.469098514875,9366.421396421489,64609.17024232889
2.6030740000000003,8270.474226999999,7555.210699999999,9112.078759000002,10767.232876,13709.776337000001,20572.77038,13407.805696,16948.896073,6482.3044899999995,,11114.042340848846,10172.04555504965,9373.262319699028,64583.81940937368
2.611952,8278.124728,7562.153787999999,9120.298993,10772.97467,13708.161557,20545.773781,13413.524265,16952.604098,6488.46097,,11120.29543720416,10178.63151100331,9380.112559004847,64558.379746778875
2.62086,8285.782304999999,7569.103256,9128.526643000001,10778.719526,13706.546968,20518.812608,13419.245273,16956.312933,6494.623297,,11126.558151987969,10185.226120384408,9386.971231146348,64532.85412001671
2.629798,8293.446966,7576.059110999999,9136.761715999999,10784.467445999999,13704.932570000004,20491.886815,13424.968722,16960.02258,6500.791477000001,,11132.830400169116,10191.829281508328,9393.838227227989,64507.242529087176
