mearth,earth,mercury,moon,0.01_hhe,0.1_hhe,1_hhe,halfwater,allwater,allfe,10_hhe,20_water,10_water,3_water
6.638982,10535.63981,9582.874508,11644.159302,12524.831209000002,14050.190567,17249.586942,15418.835129,18752.985156,8248.39224,30805.417149491637,13145.370710915031,12212.795433407684,11467.540495730656
6.661624,10544.538095000002,9590.767337,11654.294258000002,12531.960375,14054.272466,17248.360472,15428.847317,18761.991765,8255.28068,30778.19551503532,13153.740862464812,12220.80576830143,11475.670841540967
6.684343,10553.443895,9598.666667,11664.438035,12539.093599,14058.355552000003,17247.134089,15438.866006,18771.0027,8262.174873,30751.169634201207,13162.118050743493,12228.821023587561,11483.805957470715
6.707139,10562.357217,9606.572503,11674.590641,12546.230884,14062.439823,17245.907793999995,15448.891201,18780.017963,8269.074823,30724.337563773573,13170.502197134861,12236.841157908397,11491.945809968598
6.730013,10571.278067,9614.48485,11684.752083,12553.372231,14066.525281,17244.681584999995,15458.922906,18789.037555,8275.980536,30697.69621058389,13178.893590258733,12244.86648158645,11500.090722424382
6.752965,10580.206451,9622.403714,11694.92237,12560.517643,14070.611926,17243.455463999995,15468.961125,18798.061479,8282.892015999998,30671.24368548748,13187.292150391204,12252.89695298014,11508.240661019323
6.775996,10589.142376,9630.329101,11705.10151,12567.667122,14074.699758,17242.22943,15479.005862,18807.089738,8289.809268,30644.97697344097,13195.698163178819,12260.932880193655,11516.395946891644
6.799105,10598.085849,9638.261015,11715.289509,12574.820671,14078.788778,17241.003483,15489.057122,18816.122332,8296.732296,30618.89536117728,13204.111184206937,12268.973873831585,11524.55619332938
6.822292,10607.036875,9646.199463,11725.486375,12581.978291,14082.878986,17239.777623,15499.114908,18825.159264,8303.661106,30592.99698647563,13212.531136273916,12277.019896132468,11532.721370503057
6.845559,10615.99546,9654.144449,11735.692117,12589.139986,14086.970382,17238.551851,15509.179226,18834.200537,8310.595703,30567.277797860224,13220.958666493885,12285.07160175309,11540.892151244192
6.868905,10624.961613,9662.095978,11745.906742,12596.305757,14091.062967,17237.326164999995,15519.250079,18843.246152,8317.536091,30541.737109995865,13229.393332946544,12293.128605118303,11549.068152752363
6.892331,10633.935338,9670.054057,11756.130257,12603.475607,14095.156741,17236.100567,15529.327471,18852.296111,8324.482275,30516.372047673736,13237.83541803469,12301.191213078313,11557.249694891956
6.915837,10642.916642,9678.01869,11766.362671,12610.649538,14099.251704,17234.875056,15539.411407,18861.350417,8331.43426,30491.180856473857,13246.284842309504,12309.259387197813,11565.436747135096
6.939422,10651.905531,9685.989884,11776.603991,12617.827552,14103.347856,17233.649632,15549.501891,18870.409072,8338.39205,30466.16284742886,13254.741169037792,12317.332748419274,11573.628933320208
6.963089,10660.902013,9693.967642,11786.854225,12625.009652,14107.445199,17232.424295,15559.598927,18879.472077,8345.355651,30441.313120751412,13263.205394652388,12325.412286271627,11581.827266000028
6.986835,10669.906092,9701.951972,11797.113381,12632.19584,14111.543732,17231.199046,15569.70252,18888.539434,8352.325066999998,30416.63311972335,13271.67636781729,12333.496940387024,11590.03067766684
7.010663,10678.917777,9709.942878,11807.381466,12639.386119,14115.643456,17229.973882999995,15579.812673,18897.611147,8359.300296999998,30392.11803039479,13280.155081098701,12341.587697123936,11598.240177607582
7.034573,10687.937073,9717.940365,11817.658489,12646.58049,14119.744371,17228.748807,15589.929392,18906.687217,8366.281352,30367.766214995936,13288.64145358176,12349.684518493472,11606.455735680933
7.058563,10696.963986,9725.944439,11827.944456,12653.778957,14123.846477,17227.523818999995,15600.052679,18915.767645,8373.268237,30343.578052738536,13297.134697964955,12357.786693113869,11614.676638471887
7.082636,10705.998523,9733.955106,11838.239377000002,12660.98152,14127.949775,17226.298918,15610.182541,18924.852435,8380.260956,30319.548887807116,13305.6357983239,12365.895199844386,11622.903887555129
7.106791,10715.040691,9741.972371,11848.543257,12668.188184,14132.054265,17225.074104,15620.31898,18933.941588,8387.259516,30295.678129204647,13314.14432156953,12374.009665927759,11631.13711305046
7.131028,10724.090496,9749.996239,11858.856107,12675.398949,14136.159948,17223.849376999995,15630.462001,18943.035106,8394.26392,30271.96418440686,13322.660189840992,12382.130057884679,11639.376289299842
7.155347,10733.147944,9758.026716,11869.177932,12682.613819,14140.266824,17222.624736,15640.611608,18952.132991,8401.274174,30248.40547310721,13331.183326011918,12390.25634330469,11647.621391696091
7.17975,10742.213042,9766.063807,11879.508742,12689.832796,14144.374892,17221.400183999995,15650.767807,18961.235247,8408.290282,30224.998518690023,13339.714351975525,12398.389156483465,11655.87307204289
7.204236,10751.285796,9774.107518,11889.848543,12697.055882,14148.484154,17220.175717999995,15660.9306,18970.341873,8415.31225,30201.74276767479,13348.252838492866,12406.52812986048,11664.130965598099
7.228805,10760.366213,9782.157854,11900.197344,12704.283079,14152.59461,17218.951339,15671.099992,18979.452874,8422.340082,30178.636705600587,13356.798707952661,12414.67323149047,11672.395048097993
7.253458,10769.454299000003,9790.21482,11910.555152,12711.514389000002,14156.70626,17217.727047,15681.275987,18988.56825,8429.373783,30155.67790421682,13365.352229963491,12422.824760637348,11680.665631275502
7.278195,10778.550061000002,9798.278423,11920.921976,12718.749816,14160.819105,17216.502842,15691.458591,18997.688004,8436.413357,30132.864902283884,13373.913325687769,12430.98268472494,11688.942690121985
7.303016999999999,10787.653505,9806.348667,11931.297823,12725.989362,14164.933144,17215.278725,15701.647806,19006.812138,8443.458811,30110.19534262209,13382.482261758929,12439.147300638939,11697.226533844829
7.327923,10796.764637,9814.425557,11941.682701,12733.233028,14169.048379,17214.054693999995,15711.843638,19015.940654,8450.510148999998,30087.66871655168,13391.058614191765,12447.318247497175,11705.51680421706
7.352914,10805.883465,9822.509101,11952.076618,12740.480817,14173.164809000002,17212.83075,15722.046091,19025.073554,8457.567375,30065.282710808693,13399.64264923745,12455.495822338667,11713.813810475243
7.377990999999998,10815.009995,9830.599302,11962.479581,12747.732732,14177.282435,17211.606894,15732.255168,19034.210841,8464.630495,30043.03506018209,13408.234630355957,12463.680319703704,11722.117859252974
7.403152999999999,10824.144233000003,9838.696167,11972.8916,12754.988774,14181.401258000002,17210.383124,15742.470875,19043.352516,8471.699514,30020.92529570256,13416.834135553943,12471.871381421122,11730.428594865176
7.428401,10833.286185,9846.7997,11983.31268,12762.248947,14185.521277,17209.159442,15752.693215,19052.498582,8478.774435999998,29998.951196000566,13425.44142787359,12480.06930208802,11738.746323852749
7.453734,10842.435858,9854.909908,11993.742831,12769.513252,14189.642493,17207.935846,15762.922193,19061.64904,8485.855267,29977.112302670517,13434.056088308591,12488.27372689548,11747.070693777383
7.479155,10851.59326,9863.026796,12004.182061,12776.781692,14193.764906,17206.712338,15773.157813,19070.803893,8492.942011,29955.404739218935,13442.679057001289,12496.485595636936,11755.402665645437
7.504661999999999,10860.758395,9871.150369,12014.630377,12784.054269,14197.888517,17205.488915999995,15783.40008,19079.963143,8500.034673,29933.828949289877,13451.30957484918,12504.704229992229,11763.741558600388
7.530255999999999,10869.931271,9879.280634,12025.087786,12791.330986,14202.013326,17204.265581,15793.648997,19089.126792,8507.133258,29912.38282458292,13459.947901401549,12512.92992192698,11772.087676164607
7.555937,10879.111895,9887.417594,12035.554298,12798.611845,14206.139333,17203.042334,15803.90457,19098.294842,8514.237772,29891.065128867045,13468.593957170151,12521.162640696355,11780.440994329352
7.581705999999999,10888.300272,9895.561257,12046.029920000003,12805.896848,14210.266539,17201.819173,15814.166802,19107.467295,8521.348219,29869.873821756937,13477.247998658206,12529.402675621992,11788.801813738344
7.607561999999999,10897.49641,9903.711626,12056.514659,12813.185997,14214.394944,17200.596099999995,15824.435698,19116.644153,8528.464604,29848.808529729977,13485.909610435216,12537.649676364641,11797.169785889146
7.633507,10906.700315,9911.868709,12067.008525,12820.479296,14218.524549,17199.373113,15834.711262,19125.825419,8535.586932,29827.86645328782,13494.579382197931,12545.90424971971,11805.545533338753
7.659539999999998,10915.911993,9920.032511,12077.511524,12827.776746,14222.655353,17198.150213,15844.993498,19135.011095,8542.715208,29807.047255384223,13503.256898791546,12554.166045834378,11813.928707843164
7.685663,10925.131452,9928.203036,12088.023665,12835.07835,14226.787357,17196.9274,15855.282411,19144.201182,8549.849437,29786.348217823746,13511.94274517498,12562.435667149412,11822.319927318227
7.711874,10934.358697,9936.380291,12098.544955,12842.384109,14230.920562,17195.704675,15865.578005,19153.395682,8556.989624,29765.769821234302,13520.636175183352,12570.712448834951,11830.718523650901
7.738174,10943.593735,9944.564281,12109.075403,12849.694028000002,14235.054967,17194.482036,15875.880285,19162.594599,8564.135774,29745.310180296627,13529.33744107453,12578.996676695187,11839.124793200835
